video_id,right_elbow_angle,right_shoulder_angle,right_hip_angle,right_knee_angle,right_ankle_angle,label
Copy of push up 138,158.57597565707172,35.74555847050937,172.04816385583092,152.83716642983637,96.76009149113113,1
Copy of push up 138,158.0663930526884,34.974169592968224,173.0364611997242,152.1886979362203,94.79669299026901,1
Copy of push up 138,154.5048246165163,32.697820883055876,174.33855751116567,152.697204822683,93.21462702032673,1
Copy of push up 138,149.6945900132345,31.352189510688437,173.404061227397,152.53387600935736,92.12019267360331,1
Copy of push up 138,143.85614811746134,30.101631544913083,171.37084501787928,152.99238685042818,91.91284479793953,1
Copy of push up 138,138.57109809574808,31.00190435307689,166.7888110331136,152.85462564214563,93.02091155461338,1
Copy of push up 138,130.86834417574303,29.189662026677606,162.4688890142544,149.2938974426769,90.70371164760887,1
Copy of push up 138,123.92013819463169,26.786605896327405,160.3949780226535,148.13209197487788,90.68975404436348,1
Copy of push up 138,119.008231084871,26.33801561631962,158.69935461589512,149.96938940290323,94.06421430872211,1
Copy of push up 138,113.58816867870604,24.097347494376077,158.487119444147,149.60512310022813,91.74558612368085,1
Copy of push up 138,104.14778487289786,18.027055567589354,157.33346352754518,147.93839460161502,89.69759391051123,1
Copy of push up 138,94.36986521155666,11.869917037014458,155.82564299655277,146.54589705638693,86.50587149490367,1
Copy of push up 138,87.87178133948426,8.055594255811265,152.88073335796582,142.51135232197367,83.6371731750305,1
Copy of push up 138,79.19487915391338,1.006252005021564,154.00857737356844,141.53916231824746,80.2853566264684,1
Copy of push up 138,74.8063265326255,358.51877195669664,152.67862085923184,137.8233923108264,77.4738011341211,1
Copy of push up 138,69.73693536123803,353.4648059170001,153.25938115479002,134.55344730688765,73.60076832698863,1
Copy of push up 138,65.27250722147448,349.67885566576746,155.35597956928933,138.13165844000164,74.84262680486908,1
Copy of push up 138,63.31651585758818,347.48614177305853,157.5326989625248,137.8548817327052,71.4215415990466,1
Copy of push up 138,62.72049460699368,347.09441009003365,156.52039468242168,135.8788017850825,69.81079574641231,1
Copy of push up 138,61.79179789332478,347.38905829639174,155.20765497225833,134.1235538537582,69.45732388818544,1
Copy of push up 138,64.22004368885435,349.5040673950144,155.872721867319,134.68116766982237,70.17595531012685,1
Copy of push up 138,64.70593330657661,348.74578495874437,158.93484470244496,136.51164328250323,71.2884444088179,1
Copy of push up 138,66.24372284080971,348.9554550375199,160.74201284893954,137.54183713375056,71.39876054326832,1
Copy of push up 138,67.26768429486056,349.4266878749243,160.98396262968174,137.4107676540579,72.47974077230037,1
Copy of push up 138,66.48128768248775,348.09462206769155,161.44003088361902,137.00509063675486,73.49503147002142,1
Copy of push up 138,73.77121493903739,352.6343134310505,161.57457879821564,138.23070705634083,75.11449971406464,1
Copy of push up 138,80.39718488391665,359.05055063971145,158.36394965009796,139.1345034776941,79.45423854495859,1
Copy of push up 138,92.21988024483285,7.517663864488056,158.09042354901462,139.09094098656288,83.7159178098415,1
Copy of push up 138,102.0950357392051,12.98250101640708,158.51339841474686,138.47766105795293,86.07260536263921,1
Copy of push up 138,109.49628671931417,17.853853863567593,160.08379236423548,143.67969534107507,90.13909092276273,1
